# time, MeanKE, MeanKEDR, MeanP, MeanFKEDR
8.62516755E+00 9.07612649132461397E-02 1.07859720219323305E-02 1.86188850731174332E-01 6.48272053233269006E-03
8.63098433E+00 9.06930186118936887E-02 1.07904830276879006E-02 1.86492534375325980E-01 6.48114653849286154E-03
8.63680831E+00 9.06246532912795416E-02 1.07951311176217434E-02 1.86543106062482894E-01 6.47958923325119354E-03
8.64263840E+00 9.05561804885639809E-02 1.07999370506170634E-02 1.86895874397087020E-01 6.47804772485839359E-03
8.64845424E+00 9.04878386428872861E-02 1.08049043453969373E-02 1.86921796349360653E-01 6.47652597280713466E-03
8.65427286E+00 9.04194265400807412E-02 1.08100667813231122E-02 1.86987746863529564E-01 6.47501800368213004E-03
8.66011144E+00 9.03507408504613113E-02 1.08154585124788025E-02 1.87476166836948122E-01 6.47351786391060693E-03
8.66596887E+00 9.02817927434456657E-02 1.08210965042898188E-02 1.87481080555129687E-01 6.47202429107483681E-03
8.67179830E+00 9.02131282199194473E-02 1.08269494192018301E-02 1.87508320513527643E-01 6.47054750195498896E-03
8.67762062E+00 9.01445022091225123E-02 1.08330478958925756E-02 1.87833227713971707E-01 6.46908058130571829E-03
8.68345633E+00 9.00756722026850448E-02 1.08394223029244247E-02 1.87883439472545238E-01 6.46761698089735361E-03
8.68932554E+00 9.00063987168158164E-02 1.08461017102058459E-02 1.88242937407219257E-01 6.46615043179599863E-03
8.69524801E+00 8.99364457365575964E-02 1.08531145998897530E-02 1.88271556975815491E-01 6.46467496218306598E-03
8.70119304E+00 8.98661724639565201E-02 1.08604266746223019E-02 1.88363549793572144E-01 6.46319725719915906E-03
8.70713175E+00 8.97959181869183720E-02 1.08679987147995479E-02 1.88870965027996801E-01 6.46172370665006653E-03
8.71308785E+00 8.97254007011177579E-02 1.08758551620379753E-02 1.88875202697164901E-01 6.46024788279678241E-03
8.71908433E+00 8.96543457285684658E-02 1.08840198074199018E-02 1.88904246943572607E-01 6.45876365071372527E-03
8.72514337E+00 8.95824873010702821E-02 1.08925151798169740E-02 1.89265286018624718E-01 6.45726515604877309E-03
8.73123848E+00 8.95101359466793645E-02 1.09012923544727566E-02 1.89316668084248463E-01 6.45575860886278986E-03
8.73738553E+00 8.94371009508765358E-02 1.09103596764339172E-02 1.89702857497134003E-01 6.45424000884142757E-03
8.74358060E+00 8.93634257687132283E-02 1.09196945953739018E-02 1.89734280853436632E-01 6.45271037760595037E-03
8.74981275E+00 8.92892381787285944E-02 1.09292611959219948E-02 1.90008488942161741E-01 6.45117267580502720E-03
8.75608296E+00 8.92145242091662294E-02 1.09390405773280922E-02 1.90068409317530301E-01 6.44962715058269073E-03
8.76233670E+00 8.91399320391826899E-02 1.09489251349724967E-02 1.90532359007513197E-01 6.44808784685288201E-03
8.76857977E+00 8.90653923790491603E-02 1.09589020853962434E-02 1.90553047144991605E-01 6.44655424392716250E-03
8.77481764E+00 8.89908394751933868E-02 1.09689584098844432E-02 1.90618946497792985E-01 6.44502604658729085E-03
8.78105551E+00 8.89162107828806586E-02 1.09790799950599226E-02 1.91179583004692594E-01 6.44350319193483061E-03
8.78729826E+00 8.88414466883077070E-02 1.09892517931100640E-02 1.91188218401035948E-01 6.44198586956217043E-03
8.79351143E+00 8.87669594999549311E-02 1.09993942792240926E-02 1.91229664977753594E-01 6.44048393995336286E-03
8.79969408E+00 8.86927613059368541E-02 1.10094841156893435E-02 1.91713770879628570E-01 6.43899926632840805E-03
8.80585307E+00 8.86187703335429011E-02 1.10195113664709032E-02 1.91741303445947392E-01 6.43753192480198220E-03
8.81199482E+00 8.85449100099336417E-02 1.10294652550428068E-02 1.92010418278161898E-01 6.43608218621638181E-03
8.81812533E+00 8.84711083167060153E-02 1.10393345132899640E-02 1.92072752904171057E-01 6.43465050358695521E-03
8.82425026E+00 8.83972970532259233E-02 1.10491078764019725E-02 1.92582819937373168E-01 6.43323750371125550E-03
8.83037500E+00 8.83234110111231485E-02 1.10587742772312470E-02 1.92595757027133219E-01 6.43184397538544388E-03
8.83650477E+00 8.82493870980980560E-02 1.10683228924926651E-02 1.92651969790361116E-01 6.43047085231688437E-03
8.84264466E+00 8.81751634208673835E-02 1.10777433962167462E-02 1.93194285716882214E-01 6.42911919185986964E-03
8.84879970E+00 8.81006783664829290E-02 1.10870263106232249E-02 1.93209724338111066E-01 6.42779015577499713E-03
8.85497500E+00 8.80258697518299243E-02 1.10961629269618663E-02 1.93272069618837278E-01 6.42648499968157590E-03
8.86117572E+00 8.79506740895889261E-02 1.11051446385445150E-02 1.93856156832966142E-01 6.42520507225259694E-03
8.86740719E+00 8.78750259808109002E-02 1.11139621993151822E-02 1.93864399171783969E-01 6.42395181971489645E-03
8.87367493E+00 8.77988576332477261E-02 1.11226053788994680E-02 1.93910501947358371E-01 6.42272679131219298E-03
8.87998467E+00 8.77220985361571448E-02 1.11310628098939129E-02 1.94467159170896381E-01 6.42153164520949723E-03
8.88632518E+00 8.76448848843809358E-02 1.11392995120711477E-02 1.94486094152539035E-01 6.42037125608605624E-03
8.89269302E+00 8.75672590675238977E-02 1.11472911942655673E-02 1.94558280034252573E-01 6.41924887547064022E-03
8.89907870E+00 8.74893374589103129E-02 1.11550058939774953E-02 1.95217036842616876E-01 6.41816861520206478E-03
8.90546391E+00 8.74113456454881782E-02 1.11624027036267594E-02 1.95214573675229569E-01 6.41713565283216943E-03
8.91185097E+00 8.73332577346319638E-02 1.11694674312547045E-02 1.95246088889968694E-01 6.41615140300701679E-03
8.91823008E+00 8.72551965085189979E-02 1.11761740526393569E-02 1.95736084549307493E-01 6.41521893463208037E-03
